
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000636                       # Number of seconds simulated (Second)
simTicks                                    636401000                       # Number of ticks simulated (Tick)
finalTick                                   636401000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     36.85                       # Real time elapsed on the host (Second)
hostTickRate                                 17269314                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4351436                       # Number of bytes of host memory used (Byte)
simInsts                                       323553                       # Number of instructions simulated (Count)
simOps                                         323553                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     8779                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                       8779                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           636402                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.966917                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.508410                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          350572                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       21                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         348072                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     32                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                27039                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             16739                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              604891                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.575429                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.198089                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    452008     74.73%     74.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     64487     10.66%     85.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     29846      4.93%     90.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     17142      2.83%     93.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     37242      6.16%     99.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      1911      0.32%     99.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      1942      0.32%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       212      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       101      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                604891                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      20      0.95%      0.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1134     53.62%     54.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     54.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     54.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     54.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     54.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     54.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     54.56% # attempts to use FU when none available (Count)
